X_id,objectid,project_name,address,status,description,image,project_url,project_type,image_alt_text,takedown_date,ward_name,ward_number,globalid,geometry
109,182,Newtonbrook Community Recreation Centre,Yonge St. / Cummer Ave.,In progress,The City is building a new community recreation centre in Newtonbrook Plaza. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/04/8d89-newtonbrook-crc-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/newtonbrook-community-recreation-centre/,New Community Recreation Centre,A rendering of the new Newtonbrook Community Recreation Centre. The community centre will be a two-storey facility located within the base of the Newtonbrook Plaza Redevelopment at Yonge Street and Cummer Avenue. The exterior of the development site include simple modern design features like floor to ceiling windows and sculptural elements.,NA,Willowdale,18,50664077-f83e-48f7-ac9a-080ccec13a54,"{'type': 'MultiPoint', 'coordinates': [[-79.4159486795185, 43.7861565000942]]}"
110,183,Seven Oaks Park Basketball Court ,372 Military Trail ,In progress,The City is building an outdoor basketball court in Seven Oaks Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2021/08/94ea-seven-oaks-parks-basketball-court-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/seven-oaks-park-basketball-court/,Park or Facility Improvements,An image of the park sign at the entrance of Seven Oaks Park. Mature trees and plants surround the sign.,NA,Scarborough-Guildwood,24,554e9e16-b395-4830-8504-d93e7c52e0ae,"{'type': 'MultiPoint', 'coordinates': [[-79.211017409959, 43.7870055897402]]}"
111,184,Review of City Golf Course Operations,2481 Birchmount Rd,In progress,The City conducted an operational review of our five City-operated golf course locations to better understand how to maximize golf and non-golf experiences.,https://www.toronto.ca/wp-content/uploads/2021/05/8e79-review-city-golf-course-operations-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/review-of-city-golf-course-operations/,Master Plan or Study,An image of a golf course surrounded by tall mature trees with a bridge in the background. Two red golf balls sit on top of tees in the lawn.,NA,Scarborough-Agincourt,22,91508501-de22-4c99-8fb8-8b29af57a55f,"{'type': 'MultiPoint', 'coordinates': [[-79.2962266602164, 43.7887417798655]]}"
112,187,Goulding Community Centre Improvements ,45 Goulding Avenue,In progress,The City is improving Goulding Community Centre. Learn more about the project.,https://www.toronto.ca/wp-content/uploads/2021/05/95d2-goulding-community-centre-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/goulding-community-centre-improvements/,Park or Facility Improvements,"The exterior of Goulding Community Centre which shows the entrance, blue metal roof structure and planting beds with colourful flowers lining the exterior.",NA,Willowdale,18,c9b56374-7187-44e5-bea5-1430868bca2b,"{'type': 'MultiPoint', 'coordinates': [[-79.4221432999671, 43.7909118904505]]}"
113,189,Rosebank Park Playground Improvements,1051 Progress Avenue,In progress,The City is improving the playground at Rosebank Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/01/871e-rosebank-park-playground-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/rosebank-park-playground-improvements/,Playground Improvements,"A photograph of Rosebank Park streetscape, with the park sign in the foreground and the playground in the background. An open lawn and trees surround the playground.",NA,Scarborough North,23,3cebf898-5045-4dc8-86f6-f598715ccf36,"{'type': 'MultiPoint', 'coordinates': [[-79.2338392605321, 43.7920463297354]]}"
114,194,L'Amoreaux Sports Complex South Playground Improvements,100 Silver Springs Boulevard ,Complete,The City is improving the playground at L'Amoreaux Sports Complex South. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2023/12/8cc8-lamoreaux-sports-complex-playground-improvements-banner-after.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/lamoreaux-sports-complex-south-playground-improvements/,Playground Improvements,"LâAmoreaux Sports Complex South Playground looking east from the top of the west hill. The playground is surrounded by two shaded picnic tables, a stone seat wall and two benches on a new concrete walkway to the west, and a small berm with mature evergreen trees to the east.",NA,Scarborough-Agincourt,22,dbbde5ea-8727-46b4-a6e2-5d4fc098b210,"{'type': 'MultiPoint', 'coordinates': [[-79.304337089638, 43.8036245697183]]}"
115,195,North East Scarborough Community & Child Care Centre and Park Improvements,8450 Sheppard Ave E,In progress,The City is building a new multi-use community recreation and child care centre in Scarborough's Joyce Trimmer Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2019/10/90f6-north-east-scarborough-cc-project-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/north-east-scarborough-community-and-child-care-centre/,New Community Recreation Centre,A rendering of what the final centre could look like,NA,Scarborough-Rouge Park,25,3c84cb10-2c97-44e8-a982-c5e4f3c8ceff,"{'type': 'MultiPoint', 'coordinates': [[-79.1898292005427, 43.8051642601829]]}"
116,197,L'Amoreaux Kidstown Water Park Redesign and Replacement,3159 Birchmount Road ,In progress,The City is improving L'Amoreaux Kidstown Water Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2020/07/8fd0-kidstown-waterpark-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/lamoreaux-kidstown-water-park-improvements/,Park or Facility Improvements,Waterplay features at Kidstown Water Park,NA,Scarborough-Agincourt,22,c93b077b-76db-4760-85f1-3515e133e6b8,"{'type': 'MultiPoint', 'coordinates': [[-79.3105477595552, 43.8080542703719]]}"
117,200,Milliken Park Pond & Stream Restoration ,5555 Steeles Avenue East ,In progress,The City is improving the ponds in Milliken Park. Learn more about the project.,https://www.toronto.ca/wp-content/uploads/2022/09/8fa4-milliken-park-pond-stream-restoration-banner-bridge.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/milliken-park-pond-stream-restoration/,Park or Facility Improvements,"A photograph of the restored Pond A and stream, which occurred during Phase 2 construction. The photo is taken facing north towards Steeles Avenue East and shows a pond surrounded by mature trees and rocks.",NA,Scarborough North,23,71c904b0-383a-4fe3-8275-0ff1c37b9e81,"{'type': 'MultiPoint', 'coordinates': [[-79.2711655299605, 43.8315285301502]]}"
118,202,Earl Bales Skatepark,4169 Bathurst St,In progress,A new skatepark is coming to Earl Bales Park! Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/07/90d9-earl-bales-skatepark-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/earl-bales-skatepark/,Park or Facility Improvements,Park sign in a flower bed at Earl Bales Park.,NA,York Centre,6,760fe2a1-0065-4a91-b688-fb4d12db0604,"{'type': 'MultiPoint', 'coordinates': [[-79.4318856957275, 43.752590163524]]}"
119,203,Green Space at 25 Oakcrest Avenue,25 Oakcrest Ave,In progress,"The small existing green space at 25 Oakcrest Ave, adjacent to Oakcrest Parkette, is being improved! Learn more about the project and how you can get involved.",https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/green-space-at-25-oakcrest-avenue/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Beaches-East York,19,393b1f46-e125-4d8d-afa8-cddee8e3197e,"{'type': 'MultiPoint', 'coordinates': [[-79.3112418621933, 43.6828106302056]]}"
120,205,Blufferâs Park East Washroom & Site Improvements,1 Brimley Rd S,In progress,The City is improving the east washroom and maintenance building in Blufferâs Park. Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/07/8fea-bluffers-park-e-building-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/bluffers-park-east-washroom-building-improvements/,Park or Facility Improvements,A brown brick building with a blue roof. A bicycle rack sits in front.,NA,Scarborough Southwest,20,0cbfe4ca-36c1-4c30-84c2-6601c7a13e17,"{'type': 'MultiPoint', 'coordinates': [[-79.2274133210366, 43.7130420552119]]}"
121,207,Bob Acton Park Improvements,45 William Hancox Ave,In progress,The City is improving Bob Acton Park and adding a new playground! Learn more about the project and how you can get involved.,https://www.toronto.ca/wp-content/uploads/2022/07/8e8f-bob-acton-park-improvements-banner.jpg,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/bob-acton-park-improvements/,Park or Facility Improvements,"A photograph of the entrance to Bob Action Park, which illustrates the park sign in the foreground, and large open lawn, seating and blue shade structure in the background.",NA,Beaches-East York,19,50227807-f7f1-4cbb-8fb1-76381697f99a,"{'type': 'MultiPoint', 'coordinates': [[-79.2933984148195, 43.686541219039]]}"
122,208,New Parks Near Bathurst Street & St. Clair Avenue West,498 St. Clair Ave W,In progress,Three new parks are coming to the neighbourhood around Bathurst and St. Clair to meet the needs of the growing community. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-parks-near-bathurst-and-st-clair/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Toronto-St. Paul's,12,a34359e7-b033-4220-9e69-20de337fe0c7,"{'type': 'MultiPoint', 'coordinates': [[-79.4181367209827, 43.6834500316016]]}"
123,209,New Park at 32/40 Raglan Ave,32/40 Raglan Ave,In progress,A new park is coming as part of a residential development. Learn more about the project and how you can get involved.,https://www.toronto.ca/data/parks/img/pdcp/00_park.png,https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-parks-near-bathurst-and-st-clair/,New Park,Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.,NA,Toronto-St. Paul's,12,2b6ebda1-fdfa-47d8-8182-191772f9a91c,"{'type': 'MultiPoint', 'coordinates': [[-79.4201974984814, 43.6839644446669]]}"
